Наименование колонки,Важность
Ипотека,29.718297932991717
Дата последнего повышения,25.344354306998255
Должность,12.350109806779747
count_early_from_work_1m,12.344160153085026
count_late_for_work_1m,9.835958682413722
tech:programming:JavaScript,3.6009900556873924
tech:programming:python,1.146090936071084
count_day_off_3m,0.8433800554728748
Тип жилья,0.8364168498130947
other:presentation,0.5664011492648673
finance,0.4527475353339466
Руководитель,0.4256904391481855
count_day_off_1m,0.289359724735578
count_workdays_weekend_1m,0.2848761384352724
Количество детей,0.2732933379848925
count_early_from_work_2m,0.22263697464892637
Дата выхода на работу,0.1844812286390605
count_early_from_work_3m,0.1699899041522335
count_workdays_weekend_2m,0.1626383369058986
count_late_for_work_2m,0.15445424306273406
Дней в командировках за год,0.1416023175153439
Количество командировок за год,0.11723981819863266
count_late_for_work_3m,0.1117438204949268
Удаленность от места работы,0.1014074206224743
count_day_off_2m,0.0656679326708195
Статус_y,0.06123568864459064
tech:programming:C,0.05381802111794273
Местный специалист,0.05042684524264946
Пол,0.04956087890759369
Дата рождения,0.04096946496048894
Подразделение,0.0
Наличие дачи,0.0
tech:devops,0.0
count_workdays_weekend_3m,0.0
