uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m
30851,7,11,29,8,22,37,6,11,30
19723,28,34,39,26,51,55,7,8,10
67076,14,34,61,6,10,23,2,26,34
11187,18,23,40,3,15,43,14,16,29
33988,28,32,33,3,21,29,1,3,13
34418,8,11,36,13,13,41,9,19,25
53437,3,13,36,1,1,7,8,24,29
36166,2,26,39,19,27,41,3,10,17
14014,9,17,23,22,29,39,15,21,42
76076,6,8,11,0,11,13,1,20,27
07059,18,30,37,3,3,3,10,24,41
50765,6,18,20,7,36,40,0,7,21
37896,13,16,26,3,6,14,8,9,10
35364,8,17,24,4,8,37,10,15,40
32922,15,24,29,1,7,21,14,27,37
90502,12,20,22,13,39,39,16,26,30
10210,19,27,35,9,32,41,7,19,25
03593,12,22,49,10,10,34,5,32,44
94558,8,8,17,3,23,43,3,13,20
13757,1,22,49,18,24,41,9,10,20
63018,9,13,29,30,60,88,7,13,20
98340,30,51,71,1,4,33,16,37,42
79055,5,7,15,7,9,19,4,21,23
74510,8,30,59,19,22,23,16,18,28
27666,0,19,34,0,27,30,12,19,32
45056,3,7,8,0,8,29,28,29,34
33752,27,29,54,4,27,36,5,14,41
33687,2,9,19,10,30,38,1,3,11
42725,9,24,45,0,2,21,14,22,48
97584,12,27,28,2,7,15,4,13,40
63257,10,29,36,29,38,44,16,18,22
56896,16,36,50,5,15,20,5,8,8
46268,14,33,61,17,19,34,4,16,31
40524,5,13,18,4,4,8,0,6,6
83844,11,34,37,10,27,49,2,3,4
97010,5,5,22,9,15,25,2,6,25
81292,4,7,25,0,11,15,4,22,51
31605,6,26,32,4,10,21,2,12,42
24381,6,9,16,27,47,56,26,36,36
49820,6,10,17,11,19,24,18,38,61
98511,10,22,23,9,22,39,20,31,38
97288,20,20,20,22,23,30,6,8,12
69637,2,4,10,6,25,43,4,5,14
80556,17,25,53,13,35,52,8,10,38
82837,23,33,58,18,48,58,2,29,57
04468,19,25,30,8,17,23,8,18,18
58255,11,20,39,4,32,46,9,18,21
37160,18,24,50,8,24,38,14,20,38
90138,15,25,30,2,4,25,14,18,19
29957,7,11,11,20,22,49,19,19,32
69377,21,21,28,24,25,30,9,9,9
26834,10,21,27,0,2,20,8,38,46
