uid,count_late_for_work_1m,count_late_for_work_2m,count_late_for_work_3m,count_early_from_work_1m,count_early_from_work_2m,count_early_from_work_3m,count_day_off_1m,count_day_off_2m,count_day_off_3m,count_workdays_weekend_1m,count_workdays_weekend_2m,count_workdays_weekend_3m
93797,2,11,19,19,23,32,3,23,27,3,29,39
48499,9,19,43,0,10,18,14,39,65,29,37,46
42372,14,26,53,9,30,30,14,44,73,18,31,38
11142,17,17,22,1,7,14,6,8,32,0,2,12
15483,9,30,30,22,27,32,16,24,31,8,14,16
83879,14,27,38,3,5,6,19,21,22,17,29,38
75270,4,15,31,0,7,16,10,12,21,13,13,28
24147,9,21,28,0,11,12,3,18,29,17,42,43
22676,13,22,44,6,16,23,8,16,30,9,29,42
65142,12,26,44,2,2,25,7,9,29,19,28,48
45023,1,2,7,8,12,35,11,28,31,3,13,21
05886,9,9,12,7,17,26,7,18,18,8,24,46
89710,30,41,53,23,31,44,14,22,26,13,22,47
25309,1,3,4,30,43,44,1,11,40,3,26,34
63949,1,4,10,2,4,16,2,21,22,10,17,26
40783,9,16,20,5,14,16,7,16,20,4,11,20
97505,0,10,16,21,51,57,0,10,20,6,6,8
49202,20,20,28,0,3,10,15,39,49,0,3,5
83039,8,14,33,9,20,27,5,9,19,1,2,16
83537,28,28,29,11,12,26,0,2,8,2,5,25
42584,5,15,18,7,31,57,10,10,22,7,16,17
88548,15,33,42,3,22,25,6,16,23,5,8,14
00405,16,42,55,17,25,26,13,13,40,22,42,51
20834,2,12,12,1,12,35,25,48,51,4,34,62
76199,5,15,18,1,5,14,9,27,38,2,3,29
10145,8,15,20,1,15,23,6,21,29,15,20,30
26601,4,23,51,6,14,20,15,45,59,5,15,19
91653,2,31,45,7,9,35,17,21,25,9,19,43
57267,5,9,18,20,39,39,8,13,22,3,8,28
14247,13,23,35,2,27,34,20,21,50,4,4,5
13063,6,8,10,8,16,21,10,18,22,3,15,18
25775,22,28,42,16,24,44,26,30,43,8,16,26
58402,11,16,19,26,34,39,7,17,36,5,5,15
53368,14,40,62,1,2,11,27,35,50,22,24,36
79035,0,8,21,21,30,34,30,34,36,0,0,8
37710,7,13,14,22,23,24,5,11,16,15,22,42
83327,23,40,44,9,36,48,3,3,23,5,9,22
46823,9,23,29,6,7,27,1,17,26,6,20,21
90645,5,5,13,13,27,48,24,30,52,13,20,27
96063,26,33,51,5,5,6,18,46,62,5,8,27
08947,0,3,15,6,23,31,1,26,44,6,11,17
88153,12,19,27,17,24,28,5,9,30,13,24,43
83454,22,36,44,0,10,29,18,18,20,6,14,37
71155,2,6,11,6,9,22,5,23,24,5,20,41
74883,20,27,34,2,16,33,1,23,30,12,35,44
61165,20,34,38,5,7,32,1,18,19,5,10,12
20319,0,3,6,10,11,40,3,9,17,18,26,38
83023,30,30,58,15,23,40,10,19,26,5,11,18
